log_message1,log_message2,diff
websocket_handler_initialized,handling_websocket_server,1
handling_websocket_server,http_server_started,0
http_server_started,new_query_received_from_client_ws,4309
new_query_received_from_client_ws,query_preprocessing_started,0
query_preprocessing_started,query_preprocessed,36
query_preprocessed,websocket_connection_set_for_query,0
websocket_connection_set_for_query,isomorphic_check_done,1
isomorphic_check_done,query_is_unique,0
query_is_unique,stream_processing_from_solid_pod_initialized,3
stream_processing_from_solid_pod_initialized,stream_credentials_retrieved,0
stream_credentials_retrieved,subscribing_to_ldes_stream_for_the_latest_events,0
subscribing_to_ldes_stream_for_the_latest_events,notification_stream_processor_started,4
notification_stream_processor_started,stream_credentials_retrieved,0
notification_stream_processor_started,unique_query_registered,1
unique_query_registered,subscription_to_ldes_stream_was_successful,132
subscription_to_ldes_stream_was_successful,subscription_to_ldes_stream_was_successful,8
subscription_to_ldes_stream_was_successful,webhook_notification_received,2674
webhook_notification_received,webhook_notification_received,2038
webhook_notification_received,latest_event_received_preprocessing_started,3187
latest_event_received_preprocessing_started,webhook_notification_processed_and_emitted,453
webhook_notification_processed_and_emitted,latest_event_received_preprocessing_completed_adding_to_rsp_engine_started,703
latest_event_received_preprocessing_completed_adding_to_rsp_engine_started,latest_event_added_to_rsp_engine,115777
latest_event_added_to_rsp_engine,latest_event_received_preprocessing_started,1766
latest_event_added_to_rsp_engine,webhook_notification_received,4798
webhook_notification_received,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,332
aggregation_event_sent_to_solid_stream_aggregator_websocket_server,aggregation_event_received_now_publishing_to_client_ws,1217
aggregation_event_received_now_publishing_to_client_ws,webhook_notification_received,166
aggregation_event_sent_to_solid_stream_aggregator_websocket_server,latest_event_received_preprocessing_started,193
latest_event_added_to_rsp_engine,aggregation_event_received_now_publishing_to_client_ws,123
aggregation_event_sent_to_solid_stream_aggregator_websocket_server,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,18
aggregation_event_received_now_publishing_to_client_ws,aggregation_event_received_now_publishing_to_client_ws,110
aggregation_event_received_now_publishing_to_client_ws,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,891
aggregation_event_received_now_publishing_to_client_ws,latest_event_received_preprocessing_started,154
webhook_notification_received,aggregation_event_received_now_publishing_to_client_ws,214
latest_event_added_to_rsp_engine,aggregation_event_sent_to_solid_stream_aggregator_websocket_server,112
aggregation_event_sent_to_solid_stream_aggregator_websocket_server,webhook_notification_received,2
